observation_id,recommendation_id,developer_id,developer_name,task_id,task_title,project_id,project_name,recommendation_timestamp,model_name,model_version,environment,rank,recommendation_score,feedback_decision,was_assigned,assignment_status,completion_status,proposed_research_label,label_status,label_reason,validation_status,validator_name,validation_reason,validated_at
obs-df123681,84d71657-a434-412d-a3fd-f0089bd418b4,99198043-5bda-4f85-a882-25c2842fb881,RealWorld Dev,ba444562-f4c5-4638-b086-b370dce19ef2,RW Task,832b2820-b7a0-49f6-89b6-f467121e57e5,RW Project,2026-09-01T16:36:50.463004+05:30,deterministic_baseline,baseline-v1,production,1,0.92,,False,RECOMMENDED,UNASSIGNED,1,VALIDATED_LABEL,Human validated positive ground truth: Verified candidate expert competence.,VALIDATED_POSITIVE,RealWorld Dev,Verified candidate expert competence.,2026-09-01T16:36:50.478513+05:30
obs-21eb4b23,3465cec5-1a2d-44b2-b0cf-c538d13a6773,06a4981f-7fd4-4834-8184-c5c47a27e7c9,RealWorld Dev,c26da61e-dec6-4696-8370-d850b3195548,RW Task,6a9b7f1d-3edf-47e2-8f8b-cc17f8eec74a,RW Project,2026-09-01T16:36:46.710018+05:30,deterministic_baseline,baseline-v1,production,1,0.92,ACCEPTED,False,ACCEPTED,UNASSIGNED,1,WEAK_LABEL,Recommendation accepted by human reviewer.,UNVALIDATED,,,
obs-b1f8463c,c1e3bf18-40ea-46c4-867a-594643a27baa,aaa8ee0f-5ef1-4a28-9531-48f718e0ec55,Monitoring Dev,1b6134ca-37a5-4358-ac3d-9149054a530d,Mon Task,1d1a55f3-36d3-4dfb-ab84-f34c2ebf14a3,Mon Project,2026-09-01T14:28:46.538520+05:30,deterministic_baseline,baseline-v1,production,1,0.95,ACCEPTED,False,ACCEPTED,UNASSIGNED,1,WEAK_LABEL,Recommendation accepted by human reviewer.,UNVALIDATED,,,
obs-c70dfab1,f526c872-6df3-4e80-baa2-d329ec62ca50,4d012bc8-b5ac-46c1-88df-cce70ce31404,Monitoring Dev,92540094-d448-410b-b188-793dafb5764c,Mon Task,50ae9e24-d4aa-4552-99df-09faf293617f,Mon Project,2026-09-01T14:28:44.930596+05:30,deterministic_baseline,baseline-v1,production,1,0.95,ACCEPTED,False,ACCEPTED,UNASSIGNED,1,WEAK_LABEL,Recommendation accepted by human reviewer.,UNVALIDATED,,,
obs-e3c1a55a,178a2387-c97e-462c-8332-907d64d3a939,543c246d-978f-4d3b-8edc-4eb40c39390f,RealWorld Dev,19b8eaa9-f02a-4955-942d-a2e89ee7025f,RW Task,e077c00d-d9bc-414b-acbb-9e348c991929,RW Project,2026-09-01T14:28:31.373520+05:30,deterministic_baseline,baseline-v1,production,1,0.92,,False,RECOMMENDED,UNASSIGNED,1,VALIDATED_LABEL,Human validated positive ground truth: Verified candidate expert competence.,VALIDATED_POSITIVE,RealWorld Dev,Verified candidate expert competence.,2026-09-01T14:28:31.386683+05:30
obs-6dc5b048,06998e82-3821-4213-b4aa-1bca098b15ef,b842b4e2-4cd7-41b4-8815-2f3f64f7d504,RealWorld Dev,ce3a7c6b-71b5-4c55-87c5-234bf50d9718,RW Task,6cc3bdaa-7485-4479-a977-fa0e19d7202e,RW Project,2026-09-01T14:28:28.276907+05:30,deterministic_baseline,baseline-v1,production,1,0.92,ACCEPTED,False,ACCEPTED,UNASSIGNED,1,WEAK_LABEL,Recommendation accepted by human reviewer.,UNVALIDATED,,,
obs-094ec6aa,6befef44-5059-48f5-b556-5dc5c17e5e06,869f4bdd-4130-4a92-b9a8-f70ca4235438,Monitoring Dev,0b9d694f-c3ea-4465-8b17-14a5222a4fcf,Mon Task,d186e2c4-68e6-469a-b3af-bac6be867088,Mon Project,2026-08-31T19:01:49.198693+05:30,deterministic_baseline,baseline-v1,production,1,0.95,ACCEPTED,False,ACCEPTED,UNASSIGNED,1,WEAK_LABEL,Recommendation accepted by human reviewer.,UNVALIDATED,,,
obs-f709eba3,02c8be87-935f-407e-948b-3f9abb07ec9b,24d3b95d-f8b6-4d48-8f4f-6044deeaa397,Monitoring Dev,3bb0b4f2-c328-4cdd-b732-10e8f2b49896,Mon Task,bcd4b03e-7795-412a-a91a-f20272175ed0,Mon Project,2026-08-31T19:01:48.338113+05:30,deterministic_baseline,baseline-v1,production,1,0.95,ACCEPTED,False,ACCEPTED,UNASSIGNED,1,WEAK_LABEL,Recommendation accepted by human reviewer.,UNVALIDATED,,,
obs-6b6dd569,19c3a1f7-239c-419c-9b2a-5d92b90bd154,ef4ee45d-13a5-4182-a0b2-0af17dd8d15a,RealWorld Dev,87f7cb66-6eaa-4723-bb7b-195421511d42,RW Task,95b80617-5856-4437-9d1f-59b99401b761,RW Project,2026-08-31T19:01:40.769701+05:30,deterministic_baseline,baseline-v1,production,1,0.92,,False,RECOMMENDED,UNASSIGNED,1,VALIDATED_LABEL,Human validated positive ground truth: Verified candidate expert competence.,VALIDATED_POSITIVE,RealWorld Dev,Verified candidate expert competence.,2026-08-31T19:01:40.784052+05:30
obs-87fe9482,9fed7903-335a-4b03-87ae-54406f6a48ba,897d1e5e-ed8d-42a2-b489-02b927556ae6,RealWorld Dev,6c5426cb-a999-48e8-92cf-d35f1a5a6ac2,RW Task,bbfac530-754c-424b-944d-8788f73c2500,RW Project,2026-08-31T19:01:38.907924+05:30,deterministic_baseline,baseline-v1,production,1,0.92,ACCEPTED,False,ACCEPTED,UNASSIGNED,1,WEAK_LABEL,Recommendation accepted by human reviewer.,UNVALIDATED,,,
